,time,r/c,accept_ratio
273,273,0.582,0.6788321167883211
274,274,0.582,0.68
275,275,0.582,0.677536231884058
276,276,0.582,0.6750902527075813
277,277,0.582,0.6726618705035972
278,278,0.582,0.6702508960573477
279,279,0.582,0.6678571428571428
280,280,0.583,0.6690391459074733
281,281,0.581,0.6702127659574468
282,282,0.581,0.6678445229681979
283,283,0.581,0.6654929577464789
284,284,0.581,0.6666666666666666
285,285,0.581,0.6643356643356644
286,286,0.582,0.6655052264808362
287,287,0.582,0.6666666666666666
288,288,0.582,0.6678200692041523
289,289,0.582,0.6655172413793103
290,290,0.583,0.6666666666666666
291,291,0.583,0.6643835616438356
292,292,0.583,0.6621160409556314
293,293,0.583,0.6598639455782312
294,294,0.583,0.6610169491525424
295,295,0.583,0.6587837837837838
296,296,0.583,0.6565656565656566
297,297,0.583,0.6543624161073825
298,298,0.583,0.6521739130434783
299,299,0.583,0.65
300,300,0.583,0.6511627906976745
301,301,0.583,0.6490066225165563
302,302,0.582,0.6501650165016502
303,303,0.582,0.6480263157894737
304,304,0.582,0.6491803278688525
305,305,0.582,0.6503267973856209
306,306,0.582,0.6514657980456026
307,307,0.581,0.6525974025974026
308,308,0.581,0.6504854368932039
309,309,0.581,0.6483870967741936
310,310,0.581,0.6463022508038585
311,311,0.581,0.6474358974358975
312,312,0.581,0.645367412140575
313,313,0.582,0.6464968152866242
314,314,0.582,0.6444444444444445
315,315,0.582,0.6424050632911392
316,316,0.582,0.6403785488958991
317,317,0.582,0.6383647798742138
318,318,0.582,0.6363636363636364
319,319,0.582,0.634375
320,320,0.582,0.632398753894081
321,321,0.582,0.6304347826086957
322,322,0.582,0.628482972136223
323,323,0.582,0.6265432098765432
324,324,0.582,0.6246153846153846
325,325,0.582,0.6226993865030674
326,326,0.582,0.6207951070336392
327,327,0.582,0.6189024390243902
328,328,0.581,0.6200607902735562
329,329,0.581,0.6181818181818182
330,330,0.581,0.6163141993957704
331,331,0.581,0.6144578313253012
332,332,0.581,0.6126126126126126
333,333,0.581,0.6137724550898204
334,334,0.581,0.6119402985074627
335,335,0.581,0.6101190476190477
336,336,0.580,0.6112759643916914
337,337,0.580,0.6094674556213018
338,338,0.580,0.6076696165191741
339,339,0.580,0.6058823529411764
340,340,0.580,0.6041055718475073
341,341,0.580,0.6023391812865497
342,342,0.580,0.6034985422740525
343,343,0.580,0.6046511627906976
344,344,0.580,0.6028985507246377
345,345,0.580,0.6011560693641619
346,346,0.580,0.5994236311239193
